
 Daxpy product:
   Blaze [MFlop/s]:
     Blaze       = 1        (1.99511)
   N=972, steps=5145352
     Blaze       = 1        (1.99205)
   N=1069, steps=4684005
     Blaze       = 1        (1.98352)
   N=1175, steps=4281216
     Blaze       = 1        (1.98225)
   N=1292, steps=3888686
     Blaze       = 1        (1.89826)
   N=1421, steps=3493446
     Blaze       = 1        (1.87362)
   N=1563, steps=3228623
     Blaze       = 1        (1.92761)
   N=1719, steps=2931177
     Blaze       = 1        (1.9196)
   N=1890, steps=2619749
     Blaze       = 1        (1.92663)
   N=2079, steps=2039539
     Blaze       = 1        (1.92293)
   N=2286, steps=1377276
     Blaze       = 1        (1.9657)
   N=2514, steps=1175896
     Blaze       = 1        (1.95324)
   N=2765, steps=1104745
     Blaze       = 1        (2.03119)
   N=3041, steps=969223
     Blaze       = 1        (1.98395)
   N=3345, steps=894854
     Blaze       = 1        (1.98976)
   N=3679, steps=829882
     Blaze       = 1        (2.02304)
   N=4046, steps=768262
     Blaze       = 1        (2.03153)
   N=4450, steps=668557
     Blaze       = 1        (1.98449)
   N=4895, steps=628681
     Blaze       = 1        (2.02754)
   N=5384, steps=577452
     Blaze       = 1        (2.03746)
   N=5922, steps=506879
     Blaze       = 1        (1.98359)
   N=6514, steps=463237
     Blaze       = 1        (1.99177)
   N=7165, steps=347258
     Blaze       = 1        (2.02349)
   N=7881, steps=376526
     Blaze       = 1        (1.97962)
   N=8669, steps=349064
     Blaze       = 1        (2.03309)
   N=9535, steps=316710
     Blaze       = 1        (2.0346)
   N=10488, steps=278530
     Blaze       = 1        (2.00009)
   N=11536, steps=253608
     Blaze       = 1        (2.03224)
   N=12689, steps=224245
     Blaze       = 1        (1.99095)
   N=13957, steps=209968
     Blaze       = 1        (2.07463)
   N=15352, steps=164801
     Blaze       = 1        (2.40115)
   N=16887, steps=155031
     Blaze       = 1        (2.14304)
   N=18575, steps=137749
     Blaze       = 1        (1.89389)
   N=20432, steps=120712
     Blaze       = 1        (1.87567)
   N=22475, steps=106328
     Blaze       = 1        (1.89288)
   N=24722, steps=93680
     Blaze       = 1        (1.90664)
   N=27194, steps=82455
     Blaze       = 1        (1.95313)
   N=29913, steps=72472
     Blaze       = 1        (1.98376)
   N=32904, steps=64610
     Blaze       = 1        (1.97122)
   N=36194, steps=58389
     Blaze       = 1        (1.96398)
   N=39813, steps=143170
     Blaze       = 1        (1.9993)
   N=43794, steps=135411
     Blaze       = 1        (1.98876)
   N=48173, steps=128856
     Blaze       = 1        (1.99336)
   N=52990, steps=120402
     Blaze       = 1        (1.9892)
   N=58289, steps=114214
     Blaze       = 1        (1.97544)
   N=64117, steps=107715
     Blaze       = 1        (1.99234)
   N=70528, steps=100523
     Blaze       = 1        (2.00393)
